searge,name,side,desc
func_73878_a,confirmResult,0,Changed for unchangeable 1.13 name
func_74745_c,size,0,Returns the number of tags in the list.
func_74742_a,add,0,Adds the provided tag to the end of the list. There is no check to verify this tag is of the same type as any previous tag.
func_150260_c,getString,0,Changed for unchangeable 1.13 name
func_78276_b,drawString,0,
func_146284_a,actionPerformed,0,
func_146194_f,drawTextBox,0,
func_146274_d,handleMouseInput,0,
func_178039_p,handleMouseInput,0,
func_73864_a,mouseClicked,0,
func_146192_a,mouseClicked,0,
func_148179_a,mouseClicked,0,
func_146116_c,mousePressed,0,
func_148278_a,mousePressed,0,
func_148278_a,mousePressed,0,
func_146286_b,mouseReleased,0,
func_148181_b,mouseReleased,0,
func_146118_a,mouseReleased,0,
func_148277_b,mouseReleased,0,
func_146273_a,mouseClickMove,0,
func_146275_d,setClipboardString,0,
func_76605_m,getBiomeArray,0,Returns an array containing a 16x16 mapping on the X/Z of block positions in this Chunk to biome IDs.
func_177435_g,getBlockState,0,
func_186032_a,getBlockState,0,
func_186017_a,getDataForNBT,0,
func_177445_q,getHeightMap,0,
func_177423_u,isLightPopulated,0,
func_72920_a,getPendingBlockUpdates,0,
func_175712_a,getPendingBlockUpdates,0,
func_150912_a,loadMapData,0,
func_75804_a,getSaveLoader,0,
func_71359_d,getSaveLoader,0,
func_73869_a,keyTyped,0,
func_146201_a,textboxKeyTyped,0,
func_180124_b,getEntityNameList,0,
func_75621_b,getEntityString,0,
func_191301_a,getKey,0,
func_191306_a,getKey,0,
func_110545_a,reloadResourcePack,0,
func_110549_a,onResourceManagerReload,0,
func_180264_a,areSameType,0,
func_82765_e,hasRule,0,
func_82767_a,getString,0,
func_82763_b,getRules,0,
func_146383_a,setPreset,0,
func_146384_e,getPreset,0,
func_192035_E,getRecipeBook,0,
func_190575_a,setCustomName,0,
func_145999_a,setCustomName,0,(Was setName)
func_145937_a,setCustomName,0,(Was setName)
func_145951_a,setCustomName,0,(Was setCustomInventoryName)
func_200227_a,setCustomName,0,(Unused)
func_82833_r,getDisplayName,0,
func_151001_c,setDisplayName,0,
